Diagnosis,Model,XAI_Method,Feature,Reduced Feature,Score,ABS Score,Normalized Score (0-1)
cancerDiagnosis17,NN,Integrated_Gradients,sdohDateCompletedMonth,sdohDateCompletedMonth,-1.124637246,1.124637246,1
arthritisDiagnosis17,DT,LIME,sdohFeelLeftOut <= -1.09,sdohFeelLeftOut,-0.7821263,0.7821263,1
cancerDiagnosedColon17,NN,Permutation_Importance,sdohSatisfiedWithLife,sdohSatisfiedWithLife,0.208782046,0.208782046,1
strokeDiagnosis17,NN,Saliency,sdohLivedWithDrugs18,sdohLivedWithDrugs18,0.885973096,0.885973096,1
adhdaddDiagnosis517,XGB,SHAP,sdohFeelIsolated,sdohFeelIsolated,1.377787352,1.377787352,1
adhdaddDiagnosis517,Ensemble,Feature_Ablation,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.314195584,0.314195584,1
adhdaddDiagnosis517,DT,Feature_Ablation,sdohFeelIsolated,sdohFeelIsolated,0.311852186,0.311852186,0.992541595
adhdaddDiagnosis517,DT,Feature_Ablation,sdohPlacesForHealthyFood,sdohPlacesForHealthyFood,0.311221271,0.311221271,0.990533562
adhdaddDiagnosis517,XGB,Feature_Ablation,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.311221271,0.311221271,0.990533562
strokeDiagnosis17,NN,Saliency,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,-0.86612922,0.86612922,0.977602169
cancerDiagnosedBladder17,NN,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.197560113,0.197560113,0.946250488
strokeDiagnosis17,NN,Saliency,sdohHowOftenAbused18,sdohHowOftenAbused18,0.830296159,0.830296159,0.937157305
cancerDiagnosedOther17,NN,Permutation_Importance,sdohHowOftenStress,sdohHowOftenStress,0.189991907,0.189991907,0.910001174
strokeDiagnosis17,NN,Saliency,sdohDiscriminationAtWork,sdohDiscriminationAtWork,0.798708618,0.798708618,0.90150437
cancerDiagnosedOther17,NN,Permutation_Importance,sdohFeelIsolated,sdohFeelIsolated,0.186053412,0.186053412,0.891137028
adhdaddDiagnosis517,DT,LIME,sdohFeelIsolated <= -0.56,sdohFeelIsolated,0.685156296,0.685156296,0.876017462
strokeDiagnosis17,NN,Saliency,sdohPlacesForMedicalCare,sdohPlacesForMedicalCare,-0.771254003,0.771254003,0.870516279
cancerDiagnosedBladder17,NN,Permutation_Importance,sdohHelpFromCommunity,sdohHelpFromCommunity,0.176706153,0.176706153,0.846366612
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohFeelIsolated,sdohFeelIsolated,0.175571146,0.175571146,0.840930288
strokeDiagnosis17,NN,Saliency,sdohDiscriminationStores,sdohDiscriminationStores,0.733094096,0.733094096,0.827445099
cancerDiagnosedColon17,NN,Permutation_Importance,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.172607114,0.172607114,0.826733511
strokeDiagnosis17,NN,Saliency,sdohHelpFromCommunity,sdohHelpFromCommunity,-0.725101233,0.725101233,0.818423535
cancerDiagnosedOther17,NN,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.170668105,0.170668105,0.817446271
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohMeetingsPerYear,sdohMeetingsPerYear,0.170327397,0.170327397,0.815814388
strokeDiagnosis17,NN,Saliency,sdohHelpFromFriends,sdohHelpFromFriends,0.719852209,0.719852209,0.812498949
cancerDiagnosedBladder17,NN,Permutation_Importance,sdohSatisfiedWithLife,sdohSatisfiedWithLife,0.168971004,0.168971004,0.809317694
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.168456557,0.168456557,0.806853655
cancerDiagnosedLymphomaNonhodgkins17,DT,LIME,#NAME?,#NAME?,0.626685385,0.626685385,0.80125855
cancerDiagnosedColon17,NN,Permutation_Importance,sdohFeelLeftOut,sdohFeelLeftOut,0.166743547,0.166743547,0.798648879
cancerDiagnosedskinunknownType17,NN,Permutation_Importance,sdohHowOftenStress,sdohHowOftenStress,0.165631673,0.165631673,0.793323354
cancerDiagnosedColon17,NN,Permutation_Importance,sdohFeelLackCompanionship,sdohFeelLackCompanionship,0.164250865,0.164250865,0.78670972
dcsDiabetesDiagnosisByHealthProf,DT,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.164069669,0.164069669,0.785841849
cancerDiagnosedUterine17,NN,Permutation_Importance,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.163167685,0.163167685,0.78152163
cancerDiagnosedBreast17,NN,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.163096948,0.163096948,0.781182823
cancerDiagnosedBladder17,DT,Permutation_Importance,sdohSatisfiedWithLife,sdohSatisfiedWithLife,0.162818246,0.162818246,0.779847928
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohFeelLackCompanionship,sdohFeelLackCompanionship,0.16256521,0.16256521,0.778635966
anginaDiagnosis17,NN,Permutation_Importance,sdohSatisfiedWithLife,sdohSatisfiedWithLife,0.162524726,0.162524726,0.77844206
anginaDiagnosis17,NN,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.161445783,0.161445783,0.773274264
cancerDiagnosedOther17,NN,Permutation_Importance,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.159266253,0.159266253,0.762835005
cancerDiagnosedskinunknownType17,NN,Permutation_Importance,sdohFeelLackCompanionship,sdohFeelLackCompanionship,0.15886121,0.15886121,0.760894977
cancerDiagnosedLung17,NN,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.158716814,0.158716814,0.760203365
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohAccessPublicTransportation,sdohAccessPublicTransportation,0.158355819,0.158355819,0.758474313
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohPlacesForMedicalCare,sdohPlacesForMedicalCare,0.158256881,0.158256881,0.758000432
cancerDiagnosedColon17,NN,Permutation_Importance,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.157065555,0.157065555,0.752294357
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.156583918,0.156583918,0.749987468
strokeDiagnosis17,NN,Saliency,sdohCoverUnexpectedExpense,sdohCoverUnexpectedExpense,-0.662543178,0.662543178,0.747814105
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohHelpFromFamily,sdohHelpFromFamily,0.155936319,0.155936319,0.746885673
arthritisDiagnosis17,DT,Permutation_Importance,sdohFeelLeftOut,sdohFeelLeftOut,0.155503,0.155503,0.744810212
cancerDiagnosedColon17,NN,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.15476803,0.15476803,0.741289938
cancerDiagnosedCervical17,NN,Permutation_Importance,sdohFeelIsolated,sdohFeelIsolated,0.154716312,0.154716312,0.741042225
cancerDiagnosedskinunknownType17,NN,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.154172598,0.154172598,0.738438007
adhdaddDiagnosis517,DT,LIME,sdohPlacesForHealthyFood <= -0.51,sdohPlacesForHealthyFood,0.575177262,0.575177262,0.735402021
